Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
oDLKYMEVIao,미국 AI 스타트업의 생생한 현장! 시애틀 AI Ignite 피치배틀 – 창업자들의 아이디어와 열정 대공개,"May 24, 2025",1237,542,16.4412,8,0.083,13882,1.56
sFYrPtC51uY,재미로 하는 Vibe Coding 번외편 - Claude Skills 배우기 2일째 : 지난 시간 Roadmap 만들고 이제 실제로 Day 1 학습 시작합니다.,"Jan 9, 2026",3215,236,16.3725,3,0.383,10160,1.79
TC18Iqvaf8s,Hierarchical Agent Teams Architecture - Research Team 완성 : 미래의 구직은 내가 만든 AI Agent로 할 겁니다.,"Jan 5, 2025",808,561,16.2737,12,0.017,14947,2.8
NZoGZXiVQIg,"재미로 하는 Vibe Coding - MCP 마지막 시간 총정리, Vibe Learning 방법론 개선, Startup425/AICamp 주최 시애틀 AI 행사 참가 소식 등","Dec 15, 2025",12859,86,15.9541,1,0.242,4180,1.41
IghROqhD5GM,미국인데 일주일간 정전이라니.... 이런 일들이 발생 합니다. 경험에서 나온 대처 요령 알려 드릴께요.,"Nov 26, 2024",501,504,15.9535,1,0.012,11265,1.29
nY-9H9dVyLU,재미로 하는 Vibe Coding - 홈페이지 Renewal 작업 마무리 하고 Deploy 까지 해 봅니다. Remotion 버전 영상 작업도 동시에 합니다.,"Mar 2, 2026",10445,163,15.7731,0,0.521,11624,1.06
k9i3bA1a-z0,DL Basic 06 - RNN : ChatGPT야 사실은 내가 니 친 할애비다.,"Mar 9, 2024",933,199,15.7296,3,,5743,2.05
Mvjy1ul66ck,"AI in Action - Qwen3-TTS 학습 마무리, Gobi space Custom Homepage 작업, 피터 틸이 꿈꾸는 세상 리서치 하기...","May 25, 2026",11315,80,15.4695,3,0.141,4589,1.24
wlaomaCuIpI,"재미로 하는 Vibe Coding - MCP 공부, GitHub Copilot 유료 버전으로 해 봅니다, Gemini CLI 가 그럴리 없다는 주변 반응... 다시 기회 주려구요","Sep 22, 2025",11376,134,15.3829,3,0.169,5968,1.61
PcZLXQup_Jk,*** 고화질 영상 링크는 고정 댓글에 있습니다 ***  Reflexion 논문 구현 소스코드 집중 분석 - AI 시대 좋은 개발자가 되기 위해 길러야 되는 역량을 알려 드립니다.,"May 15, 2025",1960,463,15.3017,16,0.038,9332,3.41
ZbjMER3kcXY,재미로 하는 Vibe Coding - 오늘도 헤매면서 많이 배웠네요. 바이브 코딩으로 앱을 개발하기 위해 필요한 점들을 하나하나 배우고 있습니다.,"Jun 9, 2025",7615,242,15.2468,3,0.278,12214,1.34
8GPJQDplgLg,"AI in Action - AI로 컨텐츠를 만들기 위해 필요한 것들.. 글감 마련, 발표 준비, 영상 제작 준비 작업도 AI와 함께 합니다.","Jun 15, 2026",10896,50,15.1411,1,0.14,3577,0.81
wed_HMF0Hmk,AI in Action - CMDSxGOBI Cohort 1주차 실습을 같이 한번 해 보겠습니다. Vibe Guiding 개발 실험도 계속 됩니다.,"May 4, 2026",11040,80,14.9451,0,0.274,5768,0.99
9diV0Iu7hVA,"* 고화질 재 업로드 * Basic Reflection 소스코드 분석 ft. AI 가 코딩하는 시대, 당신의 역할은? 지금 준비하세요.","May 21, 2025",1752,393,14.8179,12,0.146,10558,2.89
kDdPf4cVHTs,실전 Vibe Coding - Coding 의 시대는 갑니다. PKM을 잘 하는 사람이 경쟁력을 가질 겁니다.,"Sep 23, 2025",1029,242,14.3054,6,0.403,7488,2.24
emERx9tiS0E,"재미로 하는 Vibe Coding - Web에서 코딩하기, 에러 확인 및 수정하기 (구독자님 질문)","Apr 20, 2025",3879,434,14.2519,5,0.053,5840,2.4
3B2dOH9ogC8,K-POP Seattle - K-POP Play Day at Bellevue City by BigHug,"Sep 22, 2025",4626,342,14.1581,1,,6178,3.92
dv8aBNEcJlw,"재미로 하는 Vibe Coding - 10월은 월동용 Contents 마련을 위한 Vibe 김장을 하겠습니다. Bootcamp, AI Powered PKM ...","Oct 6, 2025",10015,196,14.1145,3,0.253,9038,1.63
8b3sTizy7N8,"재미로 하는 Vibe Coding - 🚀 Development에서 Production 까지 필요한 세팅들은 어떤것들이 있을까요? - CloudFront, CI/CD etc.","Aug 4, 2025",10671,165,13.7897,6,15.887,6837,1.45
XF7drDDdi70,"AI in Action - AI 취재기자의 리포트 영상 제작 라이브 중계, 개인정보 유출회사로 부터 보상 받기, Vibe Guiding 플젝 진행 상황 공유 등","Apr 19, 2026",10553,59,13.6798,0,0.357,3583,1.14
7G3ekIuU7iw,*** 고화질 영상 링크는 고정 댓글에 있습니다 ***  Reflexion 논문 설명 - AI 도 사람처럼 자기 성찰을 통해 성장합니다. 이해하기 쉬운 논문이네요.,"May 3, 2025",1077,439,13.6497,11,0.069,8190,2.72
2cgwYl7XChA,"재미로 하는 Vibe Coding - Clearly App 으로 BRD/PRD 완성하고 홈페이지 만들기, VibeLearn AI 영어 버전 제작과 영어권 홍보 계획 설계하기","Feb 16, 2026",9015,251,13.6009,3,0.325,12504,1.62
Xkoh-IYqdK4,DL Basic 02 - AI 시대 : 오래 다녀서 회사일을 잘 아는 나는 괜찮겠지? - 아닙니다 당신부터 짤립니다.,"Feb 16, 2024",428,234,13.5625,5,0.023,4370,3.41
JGKOORVXdco,"재미로 하는 Vibe Coding - Vibe로 MCP 공부 계속, Vibe Learning 방법론을 AI4PKM에 접목하기, 2026 새 기획 코너 소개","Nov 17, 2025",9321,96,13.4675,1,0.344,4353,1.38
aSiw8ryTQ9U,재미로 하는 Vibe Coding -AI 통역 앱 개발 2 : Vibe Coding Level Up,"Apr 26, 2025",4727,207,13.4482,1,0.059,5188,2.49
HprHBSG1I00,"재미로 하는 Vibe Coding - GitHub Copilot : GitHub에 Upload, Streamlit Cloud 에 Publish 등등","Apr 13, 2025",2631,286,12.9908,2,0.312,5428,2.84
s9OAPSR8-Vk,"재미로 하는 Vibe Coding - AI 가 Lead 하는 MCP 학습, 주요 MCP 서버들 탐색 및 MCP Client Library 학습하기","Sep 15, 2025",10815,94,12.9109,1,0.222,4731,1.27
rxz2OStAVHQ,AI in Action - 이번주에는 Vibe Guiding 개발에 집중 하겠습니다. Vibe Guiding on GOBI CLI,"May 11, 2026",10430,57,12.7888,1,0.134,2959,1.49
eafzMCl87oM,재미로 하는 Vibe Coding 번외편 - 첫번째 실습시간 입니다. 처음 오신 분도 따라 할 수 있도록 설치부터 실행까지 입문 끝,"Dec 2, 2025",6214,123,12.7797,4,0.343,5361,1.75
_O8sYn0sAXI,AI Web App 개발자가 되자 3. 이제 내가 만든 AI Web App을 Public URL에 Publish 할 차례 입니다.,"May 5, 2024",395,410,12.7479,10,0.005,11631,2.41
60jpzEGnPGw,BIGHUG - 이 좋은 기능이 무료입니다. 나도 대기업처럼 첨단 기술을 활용해 경쟁력을 기르자,"May 19, 2024",1391,244,12.6123,7,0.007,12106,1.47
2r961w7y4-Y,"Part 6 Customizing State - 사람의 개입 설계하기, AI가 판단하게 만드세요","Nov 17, 2024",1490,312,12.4732,5,0,9912,2.47
9qps2hRS_eE,AI 시대 - 코딩이 이렇게 쉬워 졌다고? 복잡한 로직을 자연어로 간단하게 구현하는 방법을 보여 드립니다.,"Jun 10, 2025",1913,202,12.4188,5,0.662,4868,2.26
L3dNRCbzg8s,실전 Vibe Coding - Vibe Coding Tool들로 코딩만 하고 계세요? 더 많은 작업에 활용할 수 있습니다. 자세히 설명해 드립니다.,"Sep 10, 2025",1463,204,12.3302,2,0.332,9459,1.28
LIZdo6oZlYg,"실전 Vibe Coding - CI/CD 세팅 완료, 일회용 App 즉석 개발 시대가 옵니다.","Aug 12, 2025",1645,273,12.3077,8,0.682,5958,1.83
N4t-YQufGLg,"Refactoring/Enhancement 작업하기 - 필드에서 사용하는 꿀팁 대 방출, 잘 안되면 일단 껐다 켜 보기 ;)","Sep 1, 2024",1099,160,12.2977,1,0.004,6482,1.43
O2BV3br6UTU,MS AI Agent 어플리케이션 개발 환경 Azure AI Foundry 를 쉽게 설명해 주네요.,"Feb 16, 2025",1341,350,12.1183,2,0.323,10513,2.02
kNbkzfucS9Q,"재미로 하는 Vibe Coding - Vibe Learning 방법론 세부 사항 정하기, AI4PKM 작업 내용 공유 & 2025년 마지막 방송 정리 및 2026년 계획","Dec 29, 2025",10770,132,11.8051,1,0.454,5385,1.84
I4SID3VPUi0,Hierarchical Agent Teams Architecture - Agent에게 제대로 된 Tool을 주어야 합니다.,"Jan 1, 2025",648,276,11.7442,7,0.018,8511,2.14
UYN9ReXrym4,재미로 하는 Vibe Coding 번외편 - Clearly 공부 마지막 시간으로 홍보 영상을 만들어 보겠습니다. Skill로 한국어/영어 버전으로 만들 겁니다.,"Feb 24, 2026",5354,230,11.7353,5,0.348,17469,1.08
7hm3_DV1lz4,LangGraph Agents with Structured Output - 랭그래프 에이전트의 with_structured_output() 에 대해 알아 봅니다.,"Dec 18, 2024",925,274,11.7119,3,0.075,5437,2.67
P4o1JzKLZoY,"AI in Action - 이번주에는 AI 녹음법 논란 추가 연구하고, 그 내용으로 영상까지 실시간 제작합니다","Jun 8, 2026",11236,70,11.5494,2,1.228,10309,0.54
RFmJLUONv2g,Frontend 소스코드 심층 분석 - session state vs. parameter 개발자의 선택은?,"Jan 23, 2025",973,209,11.441,2,0.016,5713,2.47
KoSIDAGEPAM,"AI-powered PKM 실습 | 지식 정리부터 슬라이드·영상 제작까지 자동화, 외부 서비스가 아닌 내가 로컬에서 주도한다","Jan 21, 2026",2001,211,11.3482,7,0.422,3067,2.9
kayBQluDO4I,AI in Action - VibeLearn AI 의 CVL 기능을 사용해 보겠습니다. GOBI CLI 학습을 시작해 보겠습니다. 그외 다양한 소식과 실험이 진행 됩니다.,"Mar 23, 2026",11244,132,10.8941,1,0.6,6709,1.43
Gcr7bJjNkgU,"재미로 하는 Vibe Coding 번외편 - 개발한 프로젝트에 시스템 프롬프트 적용하기, Vibe Learning 플젝 테스트, Remotion AI 배우고 영상 만들어 보","Feb 6, 2026",6198,136,10.8244,2,0.316,6066,1.63
E1NmoRHkG10,"AI-powered PKM 이론 | ❓ Why Knowledge – 왜 지식 관리인가?, 🔄 지식 관리 사이클, 🔁 정보에서 지식으로의 전환, 🛠️ 지식 관리 실패 패턴과 극복","Dec 8, 2025",1538,180,10.5978,4,0.324,5555,2.09
JTdh8pNY1PE,Hierarchical Agent Teams Architecture - 문서 작업팀에게 필요한 Tool들을 만듭니다. Tool 구현 마지막 시간 입니다.,"Jan 2, 2025",694,280,10.59,6,0.005,10560,1.75
PwiAnSxyBKk,* 고화질 재업로드 * Reflexion 논문 구현 소스코드 집중 분석 - AI 시대 좋은 개발자가 되기 위해 길러야 되는 역량을 알려 드립니다.,"May 21, 2025",1960,213,10.3979,4,0.085,5305,3.09
5GSX5XuytKE,"AI in Action - AI에게 잠깐 라이브 방송 진행 맡겨보는 실험, Vibe Guiding 프로젝트 시작합니다. 잔디 관리 학습 마무리","Apr 6, 2026",9229,89,10.2669,0,0.466,4535,1.26
IfaYmOS0nVs,"APEX : SQL 문, AI Chatbot, RAG 기능 순삭 구현 - AI 시대 필요한 Skill Set 은? APEX 가 보여 드립니다.","Aug 26, 2025",1629,173,10.0332,0,0.319,3554,2.67
SyysTjld4ms,시애틀 AI Startup 다 모였어요 : SEATTLE STARTUP SUMMIT 2025 - 이쪽 분위기는 이렇습니다.,"Apr 1, 2025",860,210,9.9372,3,,8134,1.57
0CXCrU31k4o,* 고화질 재업로드 * (미스창) 무료 AI 직원 고용해서 회사 홈피 제작 출판까지 - 초보 Web Designer와 Cloud Engineer 는 이렇게 대체 할 수 있겠네요.,"May 21, 2025",1115,300,9.8609,5,0.026,9534,2.57
KitVTQivgHU,update_state - AI Agent 가 시원찮게 일 할 때. 여러분이 바로 잡을 수 있습니다.,"Nov 14, 2024",1371,136,9.8115,6,0.004,6010,1.65
uw0AHy2k6Hk,"AI-powered PKM | Cohort W3 - Prompt, System Prompt, Context 그리고 Skill 설계 원칙 및 개발 방법 feat. AI 시대 협업?","Jan 28, 2026",3401,72,9.7767,0,0.319,2383,1.85
gDMkU4_0Mhc,"AI in Action - Catch Up AI 홈피 업데이트, 미국 녹화/녹음 관련 법률 규정 심층 학습, Gobi space Custom Homepage 작업, ...","Jun 1, 2026",10826,46,9.7311,0,1.099,4805,0.77
kat7O_Di5qw,"AI in Action - Pilot Episode 01 : 새로운 생활 속 AI 실험 프로젝트 시작, 내 집 마당 잔디 관리 방법을 배워 보자","Mar 4, 2026",4760,216,9.6918,7,0.658,11971,1.24
tX-hrIwC6UU,AI-powered PKM : AI로 지식관리 자동화? AI4PKM + Gobi Desktop 업데이트 공개 (OpenClaw 실험),"Mar 10, 2026",1773,127,9.6711,1,0.786,3441,1.51
JgR5BJ7CLEw,LangGraph - Time Travel : 자신의 과거를 바꾸세요. AI Agent 에서는 가능합니다.,"Nov 17, 2024",902,228,9.6043,2,0.069,7276,2.28
fqyOrT8Y2Rc,재미로 하는 Vibe Coding 번외편 - Day 1  진도 나갑니다. AI4PKM 에 Vibe Learning Onboarding 하기 세 번째 시간,"Nov 30, 2025",6889,136,9.5051,0,0.324,5814,1.75
ibQ7RneK2Io,🔥 미국 AI 스타트업의 생생한 현장 2 – AI로 세상을 바꾸는 그들의 실전 피치,"May 28, 2025",1931,238,9.298,5,0.288,6162,2.32
OMy733naNos,"AI in Action - AI를 일정관리 비서로 사용하는 실험, 잔디관리 학습 중 얻은 인사이트, Vibe Guiding 플젝 진행 상황 공유 등","Apr 13, 2026",10577,68,9.2593,0,0.186,2621,1.11
THqP_nRtq7o,"AI-powered PKM | Cohort 2월 W1 - 2nd Brain Community 에 나를 등록하기, AI가 대화로 온보딩 시켜 줍니다. AI 시대 경쟁력 확보 방법","Feb 17, 2026",2361,97,9.1796,1,0.219,3655,1.4
MzQxhlJo_-I,재미로 하는 Vibe Coding 번외편 - Claude Skills 로 어제 만든  한국어 영상을 기반으로 영어 버전의 영상도 만들어 보겠습니다.,"Feb 25, 2026",6221,150,9.0763,0,0.13,8111,1.49
2Gxmg5ry-FI,ToT 소스코드 분석 2 - AI App 디자인의 핵심 State 관리를 살펴 봅니다. 시간 여행도 가능하게 해 줍니다.,"Jul 23, 2025",1769,307,8.998,6,0.341,14331,1.52
i6DBTDlsFSc,"AI-powered PKM | Cohort W4 - 참여자 결과물 발표, 커뮤니티 비전 공유, GOBI Desktop 3.0 주요 기능, 2월 Cohort 모집 안내","Feb 3, 2026",2347,99,8.714,0,0.217,3294,1.4
GOGW13ghfhg,IonQ's Full-Stack Quantum Innovation Webinar Part 1 - Intro by Margaret Arakawa,"Dec 12, 2024",452,197,8.6845,3,0.154,5462,2.42
P31Eh57n6A0,"재미로 하는 Vibe Coding 번외편 - 협업 Vibe Coding 시작합니다. 어제 Error Fix 한 소스코드, GitHub 에 PR 하겠습니다.","Dec 3, 2025",7068,180,8.6574,0,0.259,13485,1.14
_bZZE1jHjDo,재미로 하는 Vibe Coding 번외편 - AI4PKM 에 Vibe Learning Onboarding 하기 두번째 시간,"Nov 22, 2025",5891,64,8.6458,2,0.195,3061,1.7
KwQOpU__BKo,[EN] Can AI Generate BRD & PRD From Just a Few Questions? | Clearly App Review,"Feb 26, 2026",829,207,8.6254,3,0.926,2777,1.94
b-w60Izp5nA,실전 바이브 코딩 - 코딩 없이 코딩한다! Vibe로 개발부터 클라우드까지,"Aug 8, 2025",1979,262,8.6054,4,0.613,6856,2.11
2wk0_VQx9I8,"AI in Action - 지금 이 목소리, AI입니다 | Qwen3-TTS 목소리 복제 12일 기록","Jun 2, 2026",865,264,8.6011,4,0.578,6503,2.92
0TK1vT_yJhE,"실전 Vibe Coding - 진정한 Vibe Coding 의 길로 가는길, Source Code에 대한 미련은 버려라...","Sep 4, 2025",1775,155,8.4524,2,0.535,18709,0.5
rOLmI7jUDgQ,[100% 무료] 오픈소스 AI 통역 앱 소개 & 설치 방법 - 라방에서 같이 Vibe Coding 으로 업그레이드 예정,"May 21, 2025",812,264,8.4113,2,0.053,4601,3.35
55XVTsyJOM4,"재미로 하는 Vibe Coding 번외편 - AI4PKM 의 Orchestrator 공부, EIC Agent 수동 실행, 실제 파일로 Workflow Test","Dec 25, 2025",6607,126,8.3162,1,0.491,7537,1.41
HWU3iYJK-8Y,AI-powered PKM 실습 |  영어 유투브 영상 한글로 요약 해 주는 Skill 소개 및 Vibe 로 GitHub 에 PR 하는 과정 실전 데모 ft. Moltbot,"Jan 30, 2026",2029,139,8.2554,0,0.217,3799,1.34
40fB4UGJZM4,AI Agents Explained: A Comprehensive Guide for Beginners - AI 에이전트를 아주 쉽게 설명해 드립니다.,"Jan 11, 2025",412,216,8.1277,2,0.007,6050,2
6iw67aQJC7k,* 고화질 재 업로드 *  Reflexion 논문 설명 - AI 도 사람처럼 자기 성찰을 통해 성장합니다. 이해하기 쉬운 논문이네요.,"May 21, 2025",1076,218,8.0921,11,0.09,8304,2.02
FMoZ_tFAlIU,"미스창 - 미국에서 내 회사를 만들자, 이렇게 쉽게 할 수 있다고?","Nov 28, 2024",446,261,7.9429,5,0.397,9576,2.04
uEF56fdDMSI,"재미로 하는 Vibe Coding 번외편 - 오늘은 Codex 로 홈피작업 합니다. Claude Code, Gemini 그리고 Codex 작품을 비교해 보겠습니다.","Feb 21, 2026",3500,173,7.8059,3,0.219,7926,1.45
frTJSfBsBZU,"재미로 하는 Vibe Coding 번외편 -  Remotion AI 공부해서 영상 만들어 보기 단원 5, CLI로 영상을 MP4로 랜더링, Studio의 GUI 랜더링 기능","Feb 11, 2026",5286,141,7.7821,1,0.178,4669,1.73
LEWr-1-SOcE,실전 Vibe Coding - AI4PKM 에 Vibe Learning 이 Onboarding 합니다. 개념 설명부터 실습까지... 여러분의 이해를 도와 줍니다.,"Nov 18, 2025",1820,121,7.7135,3,0.264,4709,1.7
uuJvRcTXKPI,재미로 하는 Vibe Coding 번외편 - AI4PKM CLI Day 3 마지막 단원 - 워크플로우 체인 실행 및 고급 기,"Dec 25, 2025",4991,153,7.648,2,0.226,9346,1.34
wE8L84xyW9A,재미로 하는 Vibe Coding 번외편 - AI4PKM New Version 학습 산출물 복습 합니다. CVL 프로세스 소개 그리고 다음 단원 공부 시작,"Dec 13, 2025",7056,86,7.6392,1,0.131,4890,1.37
lLFdIwrN3Gs,BIGHUG - AI 들도 각각 개성이 있네. 사람처럼. AI 개성 파악은 더 나은 협업을 위한 열쇠,"Jun 3, 2024",1583,122,7.3126,2,0.002,9098,0.68
B4I8HyGUGT0,차 사고 보험 청구서 자동 작성 AI Agent 등 - GitHub에서 Ai Agent 개발 하는 방법을 알려 드립니다.,"Feb 17, 2025",1240,207,7.1518,2,0.018,4655,3.07
WfqOcKMro1Q,"실전 Vibe Coding - Vibe로 MCP 공부하기, 오늘은 Gemini CLI 가 영 말귀를 못 알아 듣네요. GitHub Copilot 은 대박...","Sep 13, 2025",1491,108,7.1503,2,0.165,7022,1.03
Sf99uUWzfAs,IonQ's Full-Stack Quantum Innovation Webinar Part 2 - cutting-edge Quantum computing platform,"Dec 14, 2024",820,176,7.1267,0,0.001,8201,1.66
KObW_XxX1gw,How to Install MicroK8s on Windows,"Nov 18, 2024",187,358,7.0923,1,0.228,5594,4.29
XxpZSv4GZho,Chillin' from AI Studying: Smelt Dipping at Cowlitz River,"Feb 16, 2024",60,827,7.0749,0,0.006,2004,3.54
crK2aO_uXkQ,[KR] AI가 질문 몇 가지로 BRD/PRD를 만들어준다? | Clearly 앱 실사용 후기,"Feb 25, 2026",990,140,7.0445,0,0.302,2384,4.61
jPK7i7YVg68,Fixing Errors - 지난 시간 과제로 냈던 그 에러. 해결 과정을 단계별로 보여 드립니다. 지금 바로 확인 하세요.,"Sep 7, 2024",682,140,6.8035,0,0.026,7933,1.15
loB4B4NKQO8,실전 Vibe Coding - Vibe 로 MCP 공부 시작했습니다. Vibe Coding Tool의 새로운 활용법,"Sep 6, 2025",1017,134,6.7024,0,0.209,7835,1.23
_fvWiZgHtRU,Tesla’s Cool Summon Feature: It Comes Running When You Call!,"Apr 12, 2024",60,725,6.642,1,0.006,3205,3.49
9WHZVFVUZy4,AI-powered PKM | Cohort W2 - 컨텐츠 수집(Ingestion) & 정리(Organization) 그리고 영상 만들기,"Jan 27, 2026",4474,58,6.6248,0,0.197,3342,1.17
V4UN-oBgKIE,"AI-powered PKM : AI가 콘텐츠 만들고, 지식이 연결되는 새로운 커뮤니티 (GOBI Space)","Mar 29, 2026",1972,108,6.5747,1,0.558,1922,2.71
lGX-mZ3MSwo,Startup World Cup Seattle 2025 -  Emerald Battery Labs : Material innovation for scalable energy-d..,"Jul 14, 2025",766,152,6.5463,0,1.824,10594,0.44
JfBP0WkWJWY,재미로 하는 Vibe Coding 번외편 -  Gemini로 홈페이지 만들어 보겠습니다. Claude Code 로 만든 것과 비교해 보겠습니다.,"Feb 20, 2026",4988,44,6.5269,0,0.229,2341,0.9
gyLOMeAkLWU,IonQ's Full-Stack Quantum Innovation Webinar Part 4 - Hardware by  Dr. Bjorn Flatt,"Dec 26, 2024",438,221,6.4854,2,0.054,5075,1.62
r7jH6moHFvU,"실전 Vibe Coding - React App 무료로 Publish 하기 : Gemini CLI, AWS S3 and CloudFront","Jul 30, 2025",827,222,6.1814,4,0.355,6619,1.53
3-ZljCZMV9I,재미로 하는 Vibe Coding 번외편 -  Clearly App 개발자분이 Bug Fix 하셨습니다. 다시 사용해 보겠습니다.,"Feb 15, 2026",5526,145,6.0756,0,0.119,9079,1.31
NWy139jzKwg,재미로 하는 Vibe Coding 번외편 - 유투브 영어 영상 자막 가져와서 한국어로 요약해 주는 Skill을 커뮤니티 GitHub Repo 에 PR 하기,"Jan 29, 2026",4353,116,5.8241,4,0.184,7035,1.11
n6o2zQ2TZCY,재미로 하는 Vibe Coding 번외편 - Roadmap 범위 밖 공부를 해 봅니다. 바로 영상을 편집해 주는 Video Cleaning Skill 을 사용해 봅니다.,"Dec 9, 2025",5615,74,5.755,0,0.253,3899,1.31
jUJMVs-YxLg,실전 Vibe Coding - 개발자가 코드 1도 신경 안 쓰고 앱을 완성하는 Vibe Coding 방법론 연구 중. 누구나 참여 가능,"Aug 29, 2025",1279,172,5.5286,2,0.213,4969,1.89
0q1yt7r0hNc,AI-powered PKM | CMDSPACE 월간 옵시디언 세미나 - GOBI Desktop for AI4PKM hands-on workshop,"Dec 30, 2025",2477,75,5.4089,0,0.243,1080,2.31
_jFivPrSqU4,"AI in Action - Today's Experiments: Let AI Host the Broadcast, Plan the Vibe Guiding Project etc...","Apr 6, 2026",552,88,5.3957,0,0.19,1864,2.15
WfyJ6lgtYlM,Kitesurfing & Baptism: A Unique Ceremony,"Mar 11, 2025",60,522,5.1641,0,0.001,899,2.22
WwgQDPXcHWs,AI in Action - I Cloned My Voice with AI | Qwen3-TTS 12-Day Real Journey,"Jun 2, 2026",794,210,4.9779,2,0.472,5199,3.04
p_18ZGyCW-o,"APIs : ChatAnthropic , TavilySearchResults, MemorySaver, StateGraph, START, add_messages, ToolNode","Nov 14, 2024",760,99,4.9209,0,0.005,7585,0.96
zp-fDEW8qMs,실전 Vibe Coding – Claude Code와 함께 연구하며 만드는 Vibe Learning 방법론,"Dec 18, 2025",1670,93,4.8331,1,0.2,2396,2.21
 -xETAe752rs,AI in Action - Pilot Episode 02 : AI 가 요구한 잔디 사진 제공 합니다. AI는 이걸로 무얼 할까요?,"Mar 11, 2026",5886,65,4.8326,0,0.135,5184,1.12
5456DJ9hCgw,Against the Current - The Epic Salmon Journey,"Oct 25, 2025",61,1080,4.7435,0,0.092,513,0.39
RVWsH1VEEk4,"실전 Vibe Coding - 지난주 Seattle AI 생태계, AI-powered PKM, Ambient AI, MCP etc.","Oct 5, 2025",1268,135,4.708,0,0.165,5481,1.72
DgqbSLjDT-A,AI in Action - 모두가 자신의 무가치함과 싸우고 있다 |  우리는 더 쓸모 없어지는가?,"May 22, 2026",939,122,4.643,1,0.443,7399,1.23
G0kjPQqEc3A,"AI-powered PKM: 당신의 지식이 연결되는 방식, Gobi가 제시하는 새로운 소셜 경험","Apr 25, 2026",1451,95,4.5117,2,0.123,3912,1.43
sNn8gmGTGn4,K-Pop Dance Party by BigHug at  Consulate General of the Republic of Korea in Seattle,"Feb 3, 2026",1823,178,4.5103,1,,5554,2.12
k9CrmXUDosA,Two helicopters roaring overhead in Tehaleh! 🚁🚁 #shorts,"Jan 14, 2026",45,1204,4.4074,2,0.156,240,4.58
F_cSfyslCiw,2024 Thanksgiving Day Seattle Premium Outlet - Top 10 Busiest Stores,"Dec 1, 2024",61,779,4.3213,0,0.021,3222,3.85
pT3kc5U5V70,K-Ristmas K-Pop Dance — Hosted by Bighug & the Consulate General of Korea in Seattle 13,"Jan 6, 2026",57,1671,4.312,1,0.235,248,2.82
7tPIJle2O2E,AI in Action (번외편) - OpenAI 와 Gemini의 최고급 이미지 생성 모델로 image 생성 스킬을 업데이트 한 후에 실제 영상을 만들어 보겠습니다.,"May 2, 2026",5656,72,4.2692,1,0.169,4084,1.3
rIeHDylknbo,Beyond Coding with Vibe Coding: 코딩에만 쓰는 건 손해입니다. 새로운 Vibe Learning Method 공개!,"Nov 13, 2025",676,171,4.1903,4,0.639,4725,1.12
VM1hDo7CYl0,미스창 - IRS에서 EIN 받는 방법 : ChatGPT와 같이 하면 쉽습니다.,"Dec 2, 2024",643,152,4.1792,4,0.958,9361,1.18
zMfnD7V_63o,재미로 하는 Vibe Coding 번외편 -  작업 도중 GitHub Repo 이름을 바꾸었을 경우 어떻게 해야 하나? VibeLearn-AI 로 공부하,"Feb 10, 2026",5090,66,4.1546,3,0.109,4598,1.13
Da9YK7EuN_8,Tesla Robo Taxi and Cyber Truck at Bellevue Square WA,"Nov 23, 2024",61,572,4.0997,1,0.003,1660,1.81
8y3pi4x7taw,Seattle K-Pop Random Play Dance Part 2,"Jul 31, 2025",60,1268,4.0914,0,0.127,6677,0.46
fjvvrI49RfQ,"AI in Action (번외편) - GOBI CLI 에 CVL 프로세스 적용 실험, GOBI Custom 홈페이지 개발 실험 등등","Apr 25, 2026",4331,29,4.0897,0,0.337,3781,0.42
PLS_XoioOTI,AI in Action - GOBI CLI 공부 시작합니다. 학습할 GitHub Repo 정보 관리법 부터 물어볼께요. 오늘은 간단히  Roadmap 작성 까지만?,"Mar 25, 2026",3129,84,4.0734,1,0.223,8903,0.55
T7NiGHk1T7w,재미로 하는 Vibe Coding 번외편 - Claude Skills 배우기 3일째 : Day 2 시작합니다. Claude Skills 실습 중심 학습 입니다.,"Jan 11, 2026",4670,111,4.0555,3,0.389,4412,1.75
ApWkZu0RcWE,AI in Action - AI로 목소리 복제? 비개발자가 앱으로 수익화? 이번 주 실험 총정리 | Live #11,"May 27, 2026",691,121,3.981,7,0.628,3069,1.6
ecMp5HjTW-Y,"재미로 하는 Vibe Coding 번외편 - 🌍 VibeLearn AI 에 영어 버전 추가 합니다. Claude, Gemini, ChatGPT 의 계획들 중 최선으로 작","Feb 26, 2026",3202,103,3.8154,2,0.119,7447,0.87
QZCmgaHcuqw,"[Study Group - PKM Project] Smart Composer, Smart Connections, MCP Tools Plug-Ins 설치, 세팅, 간단 사용법 공유.","Jul 4, 2025",947,94,3.8143,0,0.494,5056,1.21
_9YGBuemK60,주식투자자를 위한 Financial Analysis AI Agent 만들기 1 - 미완성 코드를 완성시켜 보세요.,"Oct 29, 2024",1387,89,3.7995,1,,4221,1.73
uBawRpG28-A,K-Ristmas K-Pop Dance — Hosted by Bighug & the Consulate General of Korea in Seattle 14,"Jan 6, 2026",83,1018,3.7225,0,0.083,151,2.65
