Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
tImosV-7YCY,"재미로 하는 Vibe Coding - Vibe Coding Overview 강의, $680 짜리 BootCamp용 강의 무료로 들을 수 있는 기회 입니다. & MCP 공부 등","Sep 29, 2025",11445,754,44.9258,25,1.35,239371,0.23
G_X-NtEZ0us,DL Basic 01 - AI는 진짜 인간처럼 생각할까? - 속 시원히 알려 드릴께요.,"Feb 13, 2024",960,504,44.5546,30,0.064,4239,6.46
48k_H1cwsfM,챗지피티에게 코딩 시키기 2 - 개발자로서 이런것들을 준비 하세요. 다 길이 있네요. ;),"Jul 23, 2024",1503,1051,44.4305,34,0.026,26931,3.08
qCPbT2YB_E4,LangChain + Streamlit = RAG + ChatBot : Streamlit 의 session_state를 사용해 RAG에 대화 기능을 구현합니다. (쿠키 영상 있음),"Jul 7, 2024",1822,670,42.6907,14,0.096,9555,3.43
obIAf97IsjU,LLMCompiler 3 : LangSmith 를 활용해 소스코드 쉽게 분석하기. ft. 프롬프트 작성하지 말고 가져다 쓰세요,"Apr 11, 2025",2088,1356,41.9956,34,0.136,18887,4.38
HThDRdksrL8,챗지피티에게 코딩 시키기 1 - 앱 하나 뚝딱 이더라구요. 근데 저는 씩 웃었습니다. (쿠키 영상: 아코디언 연주),"Jul 19, 2024",1329,1255,41.7773,20,0.023,29435,3.33
T-AmZ9Oc5mM,Tree of Thoughts (ToT) - Prompting만으로 AI 성능을 10배 끌어올리는 방법! | 일상에서도 써먹는 AI 추론법,"Jul 9, 2025",1979,463,41.1248,12,1.487,9030,2.61
MXyGrnIfTE0,🚀 지난주 라방 하이라이트 | Gemini CLI 설치 & GitHub Copilot과 동시에 같은 작업 시켜봤습니다! 과연 그 결과는...? 🤖🔁❓,"Jul 15, 2025",2775,665,40.2132,9,1.154,12555,3.07
znk1PzEJk0g,2024 AWS Summit 에서 발표된 AWS App Studio - Prompt 만으로 어플리케이션을 만들 수 있습니다.,"Jul 13, 2024",397,1431,40.0654,22,0.005,24353,4.12
QEf5FR0DiHk,OpenAI Assistants API 의 Function Calling - ChatGPT의 성능을 훨씬 끌어 올려 줍니다.,"Aug 15, 2024",1715,622,39.8661,18,0.025,12791,3.47
XkSgND7w-XY,"4가지 추론 방법론 비교 하라는 질문에 대한 Claude, Perplexity, Gemini, Copilot 그리고 Grok AI 들의 답변 분석하기","Feb 21, 2025",1384,729,39.8568,8,0.2,11063,3.83
qC1GGZDyB14,"LangChain Quick Start - Chunk : 실력있는 개발자는 성능, 속도, 비용까지 고려 합니다. RAG에서의 데이터 처리","Jun 23, 2024",1112,842,39.007,22,0.048,18071,3.02
Ku4_N4b78rc,AI-powered PKM 실습 | Jin's 2nd Brain - Obsidian과 AI로 PKM 시작하기,"Sep 26, 2025",770,887,38.1969,23,2.176,8354,5.58
TwQzTw0A51s,사실 AI는 초단기 기억 상실증 환자예요. LangGraph의 처방은 Checkpointers 입니다.,"Sep 30, 2024",1196,625,38.1082,21,0.24,39579,1.09
r9zwLkMV1DE,재미로 하는 Vibe Coding -AI 통역 앱 개발 강좌 : 코딩 몰라도 따라만 하세요,"Apr 24, 2025",5570,647,37.6886,14,0.11,10756,2.63
hRPariJe350,AI Multi-Agent Application - 현시점 한계 분석. 지금 배울 필요가 있을까? 예 지금 배우셔야 합니다.,"Dec 23, 2024",1047,814,36.2806,21,0.088,13477,2.76
raOWNuWGdRM,"재미로 하는 Vibe Coding - 3개월 동안 개발한 앱을 한번에 개발하라고 시켜 보겠습니다. : GPT-5 , Gemini CLI + MCP 공부","Aug 18, 2025",10679,303,35.5835,10,0.885,9075,2.16
Eg4EIf7mYFw,재미로 하는 Vibe Coding - 지금까지 한 일을 반복해 보는 실험을 합니다. 바이브코딩의 장점 중 하나죠? 프롬프트만 있다면 쉽게 재작업 가능 한 것. 직접 확인해 보죠.,"Jun 16, 2025",8326,226,33.7831,5,0.41,9788,1.73
M4PXDMFsYp8,"재미로 하는 Vibe Coding - GitHub Copilot : Ask, Edit, Agent","Apr 12, 2025",4900,404,33.2926,4,0.514,5067,4.93
dRYlwjHi6No,AI-powered PKM 이론 | 이번 건 정말 대박입니다!!! 코딩 없이 나만의 프리미엄급 AI 비서 만들기. 꼭 보세요.,"Dec 16, 2025",2567,314,33.2882,13,1.382,3834,4.09
wIEZWfvWF8Q,IonQ's Full-Stack Quantum Innovation - Full Compilation,"Jan 14, 2025",2213,539,32.441,8,0.113,6601,1.94
BCn3ZjI5nFY,Prompt 중심으로 Backend 소스코드 분석 - AI와 기존 앱의 강점을 최대한 활용하는 것이 Agentic AI 입니다.,"Jan 30, 2025",1343,566,32.4214,10,0.036,11797,3.21
5z3UloBkPso,"VibeLearn AI - AI 시대 새로운 학습 패러다임, 디테일은 AI에게 맡기고, 인간은 방향에 집중합니다","Feb 13, 2026",1618,841,32.2642,26,3.067,6730,3.88
2uNLjZRV6iQ,"Conversational Memory,Conversation Retrieval Chain, Checkpointers : 구독자님 질문에 답하다가 그만 여기까지 나갔네요.","Oct 20, 2024",1203,485,32.2093,15,0.019,13758,2.51
iu2heA4VmoY,"재미로 하는 Vibe Coding - GPT 5 & Gemini CLI : 서로 상대 앱 평가하게 하기, Prompt 개선 후 재 작업 시키기 - 인간 개입 최소화 실험","Aug 25, 2025",10356,176,32.0048,7,0.487,8123,1.44
yaJR0FkYkYU,Multi-Agent Network : 두 Agent들이 협업해 Chart를 만들게 하는 소스 코드 집중 분석 합니다. - ft. 탄핵이 답이다.,"Dec 10, 2024",1431,485,31.9677,9,0.048,10443,3.07
vBLJi3uYAOI,DL Basic 03 - AI의 공부법 : 도대체 어떻게 공부를 하길래...,"Feb 25, 2024",1067,273,31.1446,3,0.062,5307,3.41
EQ6c9309T8c,create_history_aware_retriever : RAG 에 chat history 관리 기능을 추가해 ChatBot을 가능하게 해 주는 Retriever입니다.,"Jul 1, 2024",1265,532,30.0928,14,0.021,13266,2.33
xZUo5SB0nOM,* 고화질 영상 링크는 고정 댓글에 * (미스창) 무료 AI 직원 고용 회사 홈피 제작 출판까지 - 초보 Web Designer와 Cloud Engineer 는 이렇게 대체 가능,"May 8, 2025",1116,1178,29.1871,37,0.044,21571,2.7
VmSDRP1B6j4,재미로 하는 Vibe Coding - AI 코딩 시대의 신개념 리팩토링 – Prompt-Driven Restart,"Jun 23, 2025",7745,314,28.9039,9,0.757,6225,2.41
M4ejvxxLF_w,LangGraph Chatbot with Tool 2 - Streamlit으로 완성하세요. 챗봇기능을 추가해 최신 정보를 제공합니다.,"Sep 18, 2024",1014,616,27.9307,12,0.067,11424,3.25
XQ7YTlbQgYc,재미로 하는 Vibe Coding -AI 통역 앱 개발 Open Project : 누구나 참여 가능,"Apr 28, 2025",5434,389,27.914,7,0.119,9933,2.52
aM7Ensrqurs,Study Group 발표 자료 - RAG의 이해와 Obsidian 적용 - PKM Project - My AI 2nd Brain,"Jun 11, 2025",1335,565,27.7409,23,1.283,6449,3.32
2Xad5L4bvbg,재미로 하는 Vibe Coding - 🎯 GitHub Copilot과 Gemini CLI 무료로 제대로 활용하는 법 & 영어 회화 앱 UI/UX 개선!,"Jul 21, 2025",8980,355,27.2201,9,0.598,8697,2.17
1OIuCLqnOpQ,재미로 하는 Vibe Coding - MCP 를 공부해 보겠습니다. Vibe Coding Tool로 코딩 이외의 일을 합니다. 잘 이해하사면 활용 방법이 많습니다.,"Sep 8, 2025",7470,209,26.98,3,0.637,9266,1.56
OwrUjDD9Qp8,"재미로 하는 Vibe Coding - Clearly App 공부 이어서. CatchUpAI_VL 테스트, Claude Code로 시작하고 Gemini로 작업 이어가기 테스트","Feb 9, 2026",10048,362,26.5863,3,0.667,14339,2.03
ykBpEUteeqY,AI에 All In 하려고 막 다니던 직장 그만 두었습니다 : 오늘은 LangGraph 복습하고 AI 진도 쭉쭉 빼겠습니다.,"Nov 10, 2024",1266,779,26.4418,34,0.005,15503,3.92
jMI1BR2gYxo,재미로 하는 Vibe Coding - Clearly App 공부를 시작 . Vibe Learning 방법론을 테스트하고 Vibe Guiding 방법론 개발 실험 시작,"Feb 2, 2026",10650,176,26.2243,7,0.489,8091,1.59
 -FHz4VQh8qE,"AI Agent, Plan & Execute : Plan 편 - 가장 유명한 K-Pop Girl Group 멤버들의 생일은? 과연 AI 의 대답은?","Feb 11, 2025",1211,359,26.1371,1,0.054,10482,2.41
K_nDJzfb6hQ,Tree of Thoughts 소스코드 분석 - AI 시대 앱 개발 - 로직 중심에서 의미 중심으로,"Jul 19, 2025",1596,533,26.1101,17,0.858,7153,3.79
Ujiht0CCEuw,"재미로 하는 Vibe Coding - New Vibe Learning Topic : Claude Skills, 3가지 Skills 개발  Roadmap, Finding Idea","Jan 5, 2026",10086,157,25.3751,3,0.881,7189,1.5
qtob6xrZLwM,[REWOO] AI 비용절감과 성능 향상을 동시에... 일석 이조 추론 방법론을 제대로 파헤쳐 봅시다.,"Mar 2, 2025",771,560,25.1697,9,2.002,9181,2.78
ygbvTmuDVXw,세금 보고 AI 활용 꿀팁 공유! 올해는 AI 와 함께 세금 보고 하세요.,"Feb 26, 2025",858,746,24.8321,9,0.661,7499,2.03
Spm-plWW1Xc,AI-powered PKM | Cohort W1 - 환경설치부터 Passive Brainstorming 실습까지 (AI4PKM 1월 온보딩),"Jan 11, 2026",2668,288,24.8188,9,0.931,4346,2.81
HJCR3JNjuWg,재미로 하는 Vibe Coding - 완성도 높은 Open Source 번역 앱을 같이 업그레이드 하겠습니다.,"May 26, 2025",6040,347,24.4051,5,0.145,11966,2.16
mW-bWxBwHeM,"재미로 하는 Vibe Coding - Vibe Learning 배포 버전 마무리 및 Vibe Guiding Project 시작, Clearly App 공부 시작, AI4PKM","Jan 26, 2026",10448,191,24.1008,0,0.606,7335,1.87
TakbnUz0CM4,"재미로 하는 Vibe Coding - Claude Code 와 함께 Vibe Learning 방법론 범용 구조화 하기, 모든 인종이 K-Pop으로 하나 된 시애틀, AI 시대..","Dec 22, 2025",11720,136,24.0946,2,0.519,7078,1.48
UqllanMkHvo,재미로 하는 Vibe Coding - AI와 함께 Claude Skills 효율적으로 공부하기 이어서 진행합니다.,"Jan 12, 2026",6415,192,23.9687,4,5.596,6416,2.07
dtyjji0Mgxo,Plan & Execute 최종회 - 이 소스코드와 DeepSeek R1 의 응답을 비교해 보았습니다. 결과는 ... ㄷㄷㄷ,"Feb 13, 2025",1114,457,23.8603,4,0.036,15415,2.03
4dtaPkMyTDQ,재미로 하는 Vibe Coding - 지금까지 해 왔던 대로 Vibe로 MCP 배우기 계속진행합니다. GitHub Copilot 유료 등록 하기로 했습니다.,"Oct 13, 2025",11641,163,23.8356,1,0.379,6941,1.54
Ir0JEMv9uis,실전 Vibe Coding - 바이브 코딩 개론 : $680 짜리 시애틀 부트캠프용 강의로 준비한 내용입니다. 8개월간의 실습 통해 얻은 인사이트를 정리했습니다.,"Oct 2, 2025",3982,274,23.5513,11,1.153,4719,3.14
J5zl376A9qo,Hierarchical Agent Teams Architecture - 전체 그림을 그리는 방법을 알려 드릴께요.,"Dec 31, 2024",692,794,23.049,19,0.065,19558,2.84
ST-TZH9GcRI,"AI in Action - 이번주 실험 들 : Vibe Coding 으로 Slack 대화 자동 수집 , Remotion AI 로 영상 제작하기, AI로 발표 준비 하기 등등","Jun 22, 2026",12050,66,22.9246,0,0.254,3729,1.34
gE4NZ2H98NM,AI 시대 준비는 추론에 대한 이해 부터... AI에게 질문을 잘하면 성공합니다.,"Feb 20, 2025",312,705,22.8999,10,0.044,8805,3.66
whZALW5Ysg0,재미로 하는 Vibe Coding - 마지막회 입니다. 1년간 과정과 앞으로의 계획 공유 합니다.,"Mar 9, 2026",10236,413,22.8436,3,0.512,15388,2.01
